MS:  	 1823: 
[DELstart] sevr[DELend]  	 Every one adored Elizabeth. If the 
 make 	 make, 
[DELstart] the[DELend][DELstart]  For me I loved he[DELend][ADDstart] her[ADDend]  	 her intercession. 
  	[NO 1823 VARIANT]
[DELstart] There[DELend][ADDstart] There For, although[ADDend] was 	 and dispute; for although there was 
  yet 	 characters, 
diss  	 dissimilitude. 
phi losphical 	 philosophical 
companion  Yet I 	 companion; yet my temper 
[DELstart] n[DELend]  	[NO 1823 VARIANT]
 mild or 	[NO 1823 VARIANT]
endurance [DELstart] than hers[DELend]  	 endurance; 
[DELstart] as hers[DELend]  	[NO 1823 VARIANT]
[DELstart] lasted[DELend][ADDstart] endured[ADDend][ADDstart] X[ADDend] I 	 endured. I 
 relating 	 relative 
 world, 	 world; 
[ADDstart] ^[ADDend][ADDstart] following[ADDend]  	 following 
 aerial 	 aërial 
 poets.– 	 poets. 
 secret 	 secret, 
disco -ver,–to 	 discover; to 
[DELstart] haven[DELend] vacancy 	 vacancy, 
own.[DELstart] When I[DELend][DELstart] I had[DELend]  	 own.     
 myself 	 myself; 
[DELstart] who[DELend][DELstart] who[DELend]  	[NO 1823 VARIANT]
school  fellows 	 schoolfellows, 
 this. 	 this 
[DELstart] Carignan[DELend][ADDstart] Clerval[ADDend]  	 Clerval 
son[DELstart] s[DELend]  	 son 
[DELstart] an[DELend]  	[NO 1823 VARIANT]
Geneva [DELstart] and[DELend]  	 Geneva, 
father[DELstart] 's[DELend]  – he 	 father. He 
&[DELstart] fancy[DELend]  fancy 	 and fancy. 
 remember 	 remember, 
 only 	[NO 1823 VARIANT]
 old 	 old, 
 tale 	 tale, 
[DELstart] Like Don Quixote[DELend]  his 	 His 
[DELstart] was[DELend] consisted 	 consisted 
chi  valry & romance 	 chivalry and romance; 
[ADDstart] ^[ADDend] when 	 when 
can remember 	 can remember, 
[DELstart] favourite[DELend][ADDstart] ese[ADDend]  	 these favourite 
[DELstart] car[DELend] characters 	 characters 
 Orlando 	 Orlando, 
 Amadis 	 Amadis, 
 George– 	 George.     
 could be 	 have passed 
happy  	 happily 
– [DELstart] Our[DELend][ADDstart] My[ADDend]  	 My 
[DELstart] and our stud[DELend]  	[NO 1823 VARIANT]
 forced, 	 forced; 
 view 	 view, 
ardour.[ADDstart] ^[ADDend] in 	 ardour in 
[ADDstart] method[ADDend] not 	 method, and not 
 emulation 	 emulation, 
 urged. 	 urged to application. 
 told 	 incited 
 drawing 	 drawing, 
[DELstart] would[DELend] might 	 might 
 her, 	 her; 
[DELstart] she[DELend][DELstart] was[DELend][DELstart] knew how[DELend][ADDstart] by[ADDend][ADDstart] the[ADDend][ADDstart] desire of[ADDend]  	 through the desire of 
Aunt   	 aunt, 
[DELstart] a painting[DELend] the 	 the 
